id,report_year,metric_id,value,value_text,is_adjusted,adjustment_note
579,2013,46,5330395.0,,False,
580,2012,28,4.3,,False,
581,2012,29,4458386.0,,False,
582,2012,30,469006.0,,False,
583,2012,31,4458386.0,,False,
584,2012,32,469006.0,,False,
585,2012,33,165690.0,,False,
586,2012,34,193471.0,,False,
587,2012,35,27781.0,,False,
588,2012,36,193471.0,,False,
589,2012,37,,,False,
590,2012,38,,,False,
591,2012,39,,,False,
592,2012,40,,,False,
593,2012,41,,,False,
594,2012,42,0.0,,False,
595,2012,43,4851502.0,,False,
596,2012,44,469006.0,,False,
597,2012,45,,,False,
598,2012,46,5320508.0,,False,
599,2024,47,4268095.0,,False,
600,2024,48,1981809.0,,False,
601,2024,49,6249904.0,,False,
602,2023,47,3961856.0,,False,
603,2023,48,1735896.0,,False,
604,2023,49,5697752.0,,False,
605,2022,47,3778650.0,,False,
606,2022,48,1519379.0,,False,
607,2022,49,5298029.0,,False,
608,2021,47,3791735.0,,False,
609,2021,48,1497183.0,,False,
610,2021,49,5288918.0,,False,
611,2020,47,3791735.0,,False,
612,2020,48,1497183.0,,False,
613,2020,49,5288918.0,,False,
614,2019,47,3485164.0,,False,
615,2019,48,1278441.0,,False,
616,2019,49,4763605.0,,False,
617,2018,47,3339050.0,,False,
618,2018,48,1244296.0,,False,
619,2018,49,4583346.0,,False,
620,2017,47,3166597.0,,False,
621,2017,48,1069046.0,,False,
622,2017,49,4235643.0,,False,
623,2016,47,3083406.0,,False,
624,2016,48,911888.0,,False,
625,2016,49,3995294.0,,False,
626,2015,47,2873322.0,,False,
627,2015,48,918431.0,,False,
628,2015,49,3791753.0,,False,
629,2014,47,2716788.0,,False,
630,2014,48,846154.0,,False,
631,2014,49,3562942.0,,False,
632,2013,47,2694405.0,,False,
633,2013,48,831643.0,,False,
634,2013,49,3526048.0,,False,
635,2012,47,2573046.0,,False,
636,2012,48,760185.0,,False,
637,2012,49,3333231.0,,False,
638,2024,50,602251.0,,False,
639,2024,51,1001435.0,,False,
640,2024,52,101600.0,,False,
641,2024,53,82000.0,,False,
642,2024,54,183600.0,,False,
643,2024,55,1787286.0,,False,
644,2023,50,570615.0,,False,
645,2023,51,1032165.0,,False,
646,2023,52,103600.0,,False,
647,2023,53,0.0,,False,
648,2023,54,103600.0,,False,
649,2023,55,1706380.0,,False,
650,2022,50,539565.0,,False,
651,2022,51,850637.0,,False,
652,2022,52,108100.0,,False,
653,2022,53,182413.0,,False,
654,2022,54,290513.0,,False,
655,2022,55,1680715.0,,False,
656,2021,50,452146.0,,False,
657,2021,51,991374.0,,False,
658,2021,52,98333.0,,False,
659,2021,53,135170.0,,False,
660,2021,54,233503.0,,False,
661,2021,55,1677023.0,,False,
662,2020,50,457019.0,,False,
663,2020,51,498040.0,,False,
664,2020,52,92134.0,,False,
665,2020,53,191884.0,,False,
666,2020,54,284018.0,,False,
667,2020,55,1239077.0,,False,
668,2019,50,444339.0,,False,
669,2019,51,391129.0,,False,
670,2019,52,87970.0,,False,
671,2019,53,52567.0,,False,
672,2019,54,140537.0,,False,
673,2019,55,976005.0,,False,
674,2018,50,451886.0,,False,
675,2018,51,242741.0,,False,
676,2018,52,113175.0,,False,
677,2018,53,24641.0,,False,
678,2018,54,,,False,
679,2018,55,832443.0,,False,
680,2017,50,429434.0,,False,
681,2017,51,202432.0,,False,
682,2017,52,79970.0,,False,
683,2017,53,25839.0,,False,
684,2017,54,,,False,
685,2017,55,737675.0,,False,
686,2016,50,283300.0,,False,
687,2016,51,240673.0,,False,
688,2016,52,71200.0,,False,
689,2016,53,27641.0,,False,
690,2016,54,98841.0,,False,
691,2016,55,622814.0,,False,
692,2015,50,355790.0,,False,
693,2015,51,101130.0,,False,
694,2015,52,83746.0,,False,
695,2015,53,21785.0,,False,
696,2015,54,,,False,
697,2015,55,562451.0,,False,
698,2014,50,393488.0,,False,
699,2014,51,151503.0,,False,
700,2014,52,99296.0,,False,
701,2014,53,15550.0,,False,
702,2014,54,,,False,
703,2014,55,659837.0,,False,
704,2013,50,417337.0,,False,
705,2013,51,116711.0,,False,
706,2013,52,79750.0,,False,
707,2013,53,,,False,
708,2013,54,,,False,
709,2013,55,613798.0,,False,
710,2012,50,360268.0,,False,
711,2012,51,65250.0,,False,
712,2012,52,89750.0,,False,
713,2012,53,89750.0,,False,
714,2012,54,89750.0,,False,
715,2012,55,515268.0,,False,
716,2024,56,213750.0,,False,
717,2024,57,246000.0,,False,
718,2024,58,561337.0,,False,
719,2024,59,1021087.0,,False,
720,2024,60,9058277.0,,False,
721,2023,56,110413.0,,False,
722,2023,57,368800.0,,False,
723,2023,58,596259.0,,False,
724,2023,59,1075472.0,,False,
725,2023,60,8479604.0,,False,
726,2022,56,345120.0,,False,
727,2022,57,449740.0,,False,
728,2022,58,461060.0,,False,
729,2022,59,1255920.0,,False,
730,2022,60,8234664.0,,False,
731,2021,56,345120.0,,False,
732,2021,57,427750.0,,False,
733,2021,58,453100.0,,False,
734,2021,59,1225970.0,,False,
735,2021,60,8191911.0,,False,
736,2020,56,152100.0,,False,
737,2020,57,315000.0,,False,
738,2020,58,516551.0,,False,
739,2020,59,983651.0,,False,
740,2020,60,7511646.0,,False,
741,2019,56,92000.0,,False,
742,2019,57,309500.0,,False,
743,2019,58,609804.0,,False,
744,2019,59,1011304.0,,False,
745,2019,60,6750914.0,,False,
746,2018,56,162494.0,,False,
747,2018,57,283190.0,,False,
748,2018,58,363483.0,,False,
749,2018,59,809167.0,,False,
750,2018,60,6224956.0,,False,
751,2017,56,112276.0,,False,
752,2017,57,378334.0,,False,
753,2017,58,393858.0,,False,
754,2017,59,884468.0,,False,
755,2017,60,5857786.0,,False,
756,2016,56,4565.0,,False,
757,2016,57,400076.0,,False,
758,2016,58,360686.0,,False,
759,2016,59,765327.0,,False,
760,2016,60,5383435.0,,False,
761,2015,56,812.0,,False,
762,2015,57,582406.0,,False,
763,2015,58,252691.0,,False,
764,2015,59,835909.0,,False,
765,2015,60,5190113.0,,False,
766,2014,56,5196.0,,False,
767,2014,57,549217.0,,False,
768,2014,58,333761.0,,False,
769,2014,59,888174.0,,False,
770,2014,60,5110953.0,,False,
771,2013,56,6133.0,,False,
772,2013,57,790432.0,,False,
773,2013,58,200625.0,,False,
774,2013,59,997190.0,,False,
775,2013,60,5137036.0,,False,
776,2012,56,13495.0,,False,
777,2012,57,559158.0,,False,
778,2012,58,319697.0,,False,
779,2012,59,892350.0,,False,
780,2012,60,4740849.0,,False,
781,2024,61,0.0,,False,
782,2024,62,0.0,,False,
783,2024,63,0.0,,False,
784,2024,64,0.0,,False,
785,2024,65,0.0,,False,
786,2023,61,0.0,,False,
787,2023,62,0.0,,False,
788,2023,63,0.0,,False,
789,2023,64,0.0,,False,
790,2023,65,0.0,,False,
791,2022,61,0.0,,False,
792,2022,62,40000.0,,False,
793,2022,63,345120.0,,False,
794,2022,64,0.0,,False,
795,2022,65,385120.0,,False,
796,2021,61,0.0,,False,
797,2021,62,0.0,,False,
798,2021,63,345120.0,,False,
799,2021,64,0.0,,False,
800,2021,65,345120.0,,False,
801,2020,61,0.0,,False,
802,2020,62,109000.0,,False,
803,2020,63,52100.0,,False,
804,2020,64,0.0,,False,
805,2020,65,161100.0,,False,
806,2019,61,0.0,,False,
807,2019,62,232000.0,,False,
808,2019,63,30000.0,,False,
809,2019,64,0.0,,False,
810,2019,65,262000.0,,False,
811,2018,61,,,False,
812,2018,62,,,False,
813,2018,63,,,False,
814,2018,64,,,False,
815,2018,65,,,False,
816,2017,61,0.0,,False,
817,2017,62,0.0,,False,
818,2017,63,0.0,,False,
819,2017,64,0.0,,False,
820,2017,65,0.0,,False,
821,2016,61,,,False,
822,2016,62,,,False,
823,2016,63,,,False,
824,2016,64,,,False,
825,2016,65,,,False,
826,2015,61,,,False,
827,2015,62,,,False,
828,2015,63,,,False,
829,2015,64,,,False,
830,2015,65,,,False,
831,2014,61,14544.0,,False,
832,2014,62,,,False,
833,2014,63,,,False,
834,2014,64,,,False,
835,2014,65,14544.0,,False,
836,2013,61,,,False,
837,2013,62,26524.0,,False,
838,2013,63,,,False,
839,2013,64,83776.0,,False,
840,2013,65,110300.0,,False,
841,2012,61,,,False,
842,2012,62,,,False,
843,2012,63,,,False,
844,2012,64,,,False,
845,2012,65,,,False,
846,2024,66,9058277.0,,False,
847,2023,66,8479604.0,,False,
848,2022,66,8619784.0,,False,
849,2021,66,8537031.0,,False,
850,2020,66,7672746.0,,False,
851,2019,66,7012914.0,,False,
852,2018,66,6224956.0,,False,
853,2017,66,5857786.0,,False,
854,2016,66,5383435.0,,False,
855,2015,66,5190113.0,,False,
856,2014,66,5125497.0,,False,
857,2013,66,5247336.0,,False,
858,2012,66,4740849.0,,False,
859,2024,67,34889.0,,False,
860,2024,68,37817.0,,False,
861,2024,69,337543.0,,False,
862,2024,70,0.0,,False,
863,2024,71,0.0,,False,
864,2024,72,0.0,,False,
865,2024,73,405.0,,False,
866,2024,74,2238.0,,False,
867,2024,75,9912.0,,False,
868,2024,76,1221.0,,False,
869,2024,77,2510.0,,False,
870,2024,78,18817.0,,False,
871,2024,79,368607.0,,False,
872,2024,80,,,False,
873,2024,81,,,False,
874,2024,82,,,False,
875,2024,83,,,False,
876,2024,84,,,False,
877,2024,85,,,False,
878,2024,86,,,False,
879,2024,87,,,False,
880,2024,88,,,False,
881,2023,67,35624.0,,False,
882,2023,68,27696.0,,False,
883,2023,69,340471.0,,False,
884,2023,70,0.0,,False,
885,2023,71,0.0,,False,
886,2023,72,0.0,,False,
887,2023,73,1137.0,,False,
888,2023,74,1736.0,,False,
889,2023,75,11745.0,,False,
890,2023,76,1974.0,,False,
891,2023,77,1458.0,,False,
892,2023,78,20106.0,,False,
893,2023,79,372965.0,,False,
894,2023,80,593480.0,,False,
895,2023,81,99441.0,,False,
896,2023,82,801332.0,,False,
897,2023,83,4802.0,,False,
898,2023,84,1499055.0,,False,
899,2023,85,30.0,,False,
900,2023,86,0.0,,False,
901,2023,87,71.0,,False,
902,2023,88,101.0,,False,
903,2022,67,33211.0,,False,
904,2022,68,20594.0,,False,
905,2022,69,349889.0,,False,
906,2022,70,0.0,,False,
907,2022,71,0.0,,False,
908,2022,72,8.0,,False,
909,2022,73,1279.0,,False,
910,2022,74,1095.0,,False,
911,2022,75,11539.0,,False,
912,2022,76,2409.0,,False,
